"Step","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX"
"227","1213.1061197901195","1213.1061197901195","1213.1061197901195","1195.713656677308","1195.713656677308","1195.713656677308","1193.1666601479271","1193.1666601479271","1193.1666601479271"
"229","1213.1034814362936","1213.1034814362936","1213.1034814362936","1196.3103782691153","1196.3103782691153","1196.3103782691153","1192.9909460694748","1192.9909460694748","1192.9909460694748"
"231","1213.1049682460416","1213.1049682460416","1213.1049682460416","1197.3339765053577","1197.3339765053577","1197.3339765053577","1192.4799844422662","1192.4799844422662","1192.4799844422662"
"233","1213.5701937130582","1213.5701937130582","1213.5701937130582","1198.034512197743","1198.034512197743","1198.034512197743","1192.503445073805","1192.503445073805","1192.503445073805"
"235","1213.2870251098402","1213.2870251098402","1213.2870251098402","1198.6978320257924","1198.6978320257924","1198.6978320257924","1192.7743792963927","1192.7743792963927","1192.7743792963927"
"237","1213.1138586560046","1213.1138586560046","1213.1138586560046","1199.1018903593895","1199.1018903593895","1199.1018903593895","1193.330546685842","1193.330546685842","1193.330546685842"
"239","1213.2780661788418","1213.2780661788418","1213.2780661788418","1199.3332251130005","1199.3332251130005","1199.3332251130005","1193.282635139235","1193.282635139235","1193.282635139235"
"241","1213.3840876410538","1213.3840876410538","1213.3840876410538","1199.499346739577","1199.499346739577","1199.499346739577","1193.61988227708","1193.61988227708","1193.61988227708"
"243","1213.568917985271","1213.568917985271","1213.568917985271","1199.9090086923538","1199.9090086923538","1199.9090086923538","1193.6626035970535","1193.6626035970535","1193.6626035970535"
"245","1213.9072219458235","1213.9072219458235","1213.9072219458235","1199.8564699655467","1199.8564699655467","1199.8564699655467","1194.199152606125","1194.199152606125","1194.199152606125"
"247","1214.069259961438","1214.069259961438","1214.069259961438","1200.0615319752187","1200.0615319752187","1200.0615319752187","1194.0825487593634","1194.0825487593634","1194.0825487593634"
"249","1214.0865162057091","1214.0865162057091","1214.0865162057091","1200.1783733697885","1200.1783733697885","1200.1783733697885","1193.7591071498555","1193.7591071498555","1193.7591071498555"
"251","1214.6347571925282","1214.6347571925282","1214.6347571925282","1200.4347637987164","1200.4347637987164","1200.4347637987164","1193.8322003761411","1193.8322003761411","1193.8322003761411"
"253","1214.7082215096252","1214.7082215096252","1214.7082215096252","1200.2935799791383","1200.2935799791383","1200.2935799791383","1193.7820883996578","1193.7820883996578","1193.7820883996578"
"255","1214.542053683978","1214.542053683978","1214.542053683978","1200.0452065113632","1200.0452065113632","1200.0452065113632","1193.976828425577","1193.976828425577","1193.976828425577"
"257","1214.2438383696308","1214.2438383696308","1214.2438383696308","","","","","",""
